Freq (Hz),Mobility real (m/N),Mobility imag (m/N)
10,4.44E-08,-4.79E-08
20,4.21E-08,-5.83E-08
30,2.96E-08,-7.66E-08
40,-1.55E-08,-1.05E-07
50,-1.07E-07,-3.52E-08
60,-5.29E-08,-1.05E-08
70,-3.35E-08,-6.52E-09
80,-2.52E-08,-5.08E-09
90,-1.98E-08,-4.05E-09
100,-1.59E-08,-3.21E-09
110,-1.36E-08,-2.50E-09
120,-1.12E-08,-2.06E-09
130,-9.41E-09,-1.75E-09
140,-8.00E-09,-1.49E-09
150,-6.86E-09,-1.26E-09
160,-5.93E-09,-1.03E-09
170,-5.11E-09,-8.29E-10
180,-4.38E-09,-6.56E-10
190,-3.74E-09,-5.30E-10
200,-3.16E-09,-4.48E-10
210,-2.63E-09,-4.01E-10
220,-2.17E-09,-3.91E-10
230,-1.73E-09,-4.23E-10
240,-1.35E-09,-5.26E-10
250,-1.08E-09,-7.09E-10
260,-9.84E-10,-8.51E-10
270,-9.18E-10,-8.17E-10
280,-6.88E-10,-7.59E-10
290,-4.23E-10,-8.53E-10
300,-2.59E-10,-1.08E-09
310,-2.60E-10,-1.25E-09
320,-3.42E-10,-1.35E-09
330,-4.33E-10,-1.42E-09
340,-4.52E-10,-1.41E-09
350,-4.36E-10,-1.42E-09
360,-3.90E-10,-1.46E-09
370,-6.30E-10,-1.62E-09
380,-9.34E-10,-1.47E-09
390,-9.37E-10,-9.64E-10
400,-6.00E-10,-8.59E-10
410,-1.88E-10,-7.91E-10
420,-1.87E-10,-1.32E-09
430,-2.55E-10,-1.72E-09
440,-6.32E-10,-1.83E-09
450,-1.35E-09,-1.67E-09
460,-1.48E-09,-8.54E-10
470,-1.23E-09,-5.74E-10
480,-1.00E-09,-4.17E-10
490,-8.43E-10,-3.68E-10
500,-7.45E-10,-2.99E-10
510,-6.48E-10,-2.34E-10
520,-4.90E-10,-1.85E-10
530,-3.58E-10,-2.18E-10
540,-2.41E-10,-2.72E-10
550,-1.90E-10,-2.89E-10
560,-1.38E-10,-3.10E-10
570,-4.06E-11,-3.50E-10
580,-3.72E-11,-4.25E-10
590,-1.34E-10,-5.27E-10
600,-1.40E-10,-4.13E-10
610,-6.25E-11,-3.45E-10
620,4.72E-12,-3.23E-10
630,1.13E-10,-3.21E-10
640,2.52E-10,-2.91E-10
650,4.19E-10,-4.11E-10
660,5.84E-10,-5.56E-10
670,6.93E-10,-7.94E-10
680,6.29E-10,-1.12E-09
690,4.21E-10,-1.43E-09
700,6.99E-11,-1.59E-09
710,-1.77E-10,-1.50E-09
720,-2.28E-10,-1.19E-09
730,-1.88E-10,-1.29E-09
740,-1.61E-10,-1.50E-09
750,-6.37E-10,-1.80E-09
760,-1.21E-09,-1.46E-09
770,-1.33E-09,-7.40E-10
780,-1.10E-09,-4.87E-10
790,-8.54E-10,-3.49E-10
800,-6.60E-10,-3.21E-10
810,-5.36E-10,-3.96E-10
820,-4.66E-10,-5.20E-10
830,-5.20E-10,-5.28E-10
840,-5.83E-10,-5.25E-10
850,-6.59E-10,-5.06E-10
860,-6.99E-10,-4.09E-10
870,-7.03E-10,-2.89E-10
880,-6.42E-10,-2.11E-10
890,-5.75E-10,-1.52E-10
900,-5.11E-10,-1.20E-10
910,-4.53E-10,-1.03E-10
920,-3.98E-10,-9.09E-11
930,-3.50E-10,-8.86E-11
940,-3.06E-10,-9.02E-11
950,-2.64E-10,-9.39E-11
960,-2.27E-10,-1.05E-10
970,-1.94E-10,-1.18E-10
980,-1.67E-10,-1.36E-10
990,-1.49E-10,-1.52E-10
1000,-1.36E-10,-1.68E-10
1010,-1.28E-10,-1.70E-10
1020,-1.14E-10,-1.69E-10
1030,-9.20E-11,-1.61E-10
1040,-6.14E-11,-1.55E-10
1050,-1.97E-11,-1.58E-10
1060,2.71E-11,-1.76E-10
1070,8.01E-11,-1.95E-10
1080,1.42E-10,-2.24E-10
1090,2.20E-10,-2.80E-10
1100,3.12E-10,-3.50E-10
1110,4.25E-10,-5.06E-10
1120,5.13E-10,-7.99E-10
1130,4.53E-10,-1.25E-09
1140,-1.40E-10,-1.56E-09
1150,-8.66E-10,-1.44E-09
1160,-1.06E-09,-8.93E-10
1170,-1.01E-09,-5.26E-10
1180,-8.73E-10,-3.17E-10
1190,-7.59E-10,-2.16E-10
1200,-6.72E-10,-1.61E-10
1210,-6.03E-10,-1.26E-10
1220,-5.45E-10,-1.03E-10
1230,-4.96E-10,-8.71E-11
1240,-4.58E-10,-7.88E-11
1250,-4.24E-10,-7.24E-11
1260,-3.96E-10,-6.92E-11
1270,-3.73E-10,-6.84E-11
1280,-3.52E-10,-6.84E-11
1290,-3.38E-10,-6.93E-11
1300,-3.26E-10,-6.91E-11
1310,-3.17E-10,-6.74E-11
1320,-3.10E-10,-6.24E-11
1330,-3.02E-10,-5.63E-11
1340,-2.92E-10,-4.87E-11
1350,-2.81E-10,-4.18E-11
1360,-2.69E-10,-3.56E-11
1370,-2.57E-10,-3.10E-11
1380,-2.45E-10,-2.71E-11
1390,-2.33E-10,-2.42E-11
1400,-2.22E-10,-2.20E-11
1410,-2.11E-10,-2.03E-11
1420,-2.01E-10,-1.92E-11
1430,-1.90E-10,-1.84E-11
1440,-1.81E-10,-1.80E-11
1450,-1.71E-10,-1.81E-11
1460,-1.61E-10,-1.83E-11
1470,-1.51E-10,-1.93E-11
1480,-1.42E-10,-2.04E-11
1490,-1.32E-10,-2.24E-11
1500,-1.22E-10,-2.57E-11
1510,-1.11E-10,-2.91E-11
1520,-1.00E-10,-3.54E-11
1530,-8.99E-11,-4.38E-11
1540,-7.91E-11,-5.45E-11
1550,-7.41E-11,-7.16E-11
1560,-7.05E-11,-9.08E-11
1570,-8.08E-11,-1.11E-10
1580,-9.57E-11,-1.25E-10
1590,-1.16E-10,-1.31E-10
1600,-1.32E-10,-1.27E-10
1610,-1.47E-10,-1.21E-10
1620,-1.58E-10,-1.12E-10
1630,-1.68E-10,-1.01E-10
1640,-1.75E-10,-8.65E-11
1650,-1.75E-10,-7.05E-11
1660,-1.73E-10,-5.57E-11
1670,-1.67E-10,-4.32E-11
1680,-1.59E-10,-3.41E-11
1690,-1.51E-10,-2.67E-11
1700,-1.43E-10,-2.21E-11
1710,-1.35E-10,-1.84E-11
1720,-1.28E-10,-1.58E-11
1730,-1.22E-10,-1.39E-11
1740,-1.16E-10,-1.23E-11
1750,-1.10E-10,-1.13E-11
1760,-1.05E-10,-1.04E-11
1770,-1.00E-10,-9.64E-12
1780,-9.56E-11,-9.10E-12
1790,-9.13E-11,-8.70E-12
1800,-8.71E-11,-8.39E-12
1810,-8.32E-11,-8.16E-12
1820,-7.93E-11,-7.99E-12
1830,-7.56E-11,-7.92E-12
1840,-7.20E-11,-7.89E-12
1850,-6.86E-11,-7.93E-12
1860,-6.52E-11,-8.04E-12
1870,-6.19E-11,-8.18E-12
1880,-5.87E-11,-8.45E-12
1890,-5.57E-11,-8.74E-12
1900,-5.27E-11,-9.09E-12
1910,-4.99E-11,-9.50E-12
1920,-4.71E-11,-9.89E-12
1930,-4.45E-11,-1.03E-11
1940,-4.20E-11,-1.07E-11
1950,-3.96E-11,-1.10E-11
1960,-3.72E-11,-1.12E-11
1970,-3.47E-11,-1.13E-11
1980,-3.21E-11,-1.14E-11
1990,-2.92E-11,-1.15E-11
2000,-2.63E-11,-1.16E-11
2010,-2.30E-11,-1.21E-11
2020,-1.96E-11,-1.27E-11
2030,-1.59E-11,-1.37E-11
2040,-1.19E-11,-1.54E-11
2050,-7.66E-12,-1.69E-11
2060,-3.59E-12,-2.08E-11
2070,1.21E-12,-2.51E-11
2080,5.33E-12,-3.22E-11
2090,5.33E-12,-4.37E-11
2100,1.45E-12,-5.59E-11
2110,-1.44E-11,-6.26E-11
2120,-3.03E-11,-5.94E-11
2130,-4.02E-11,-4.68E-11
2140,-4.06E-11,-3.52E-11
2150,-3.73E-11,-2.55E-11
2160,-3.25E-11,-2.03E-11
2170,-2.76E-11,-1.67E-11
2180,-2.30E-11,-1.41E-11
2190,-1.89E-11,-1.27E-11
2200,-1.50E-11,-1.16E-11
2210,-1.14E-11,-1.09E-11
2220,-8.12E-12,-1.04E-11
2230,-5.00E-12,-1.00E-11
2240,-1.98E-12,-1.01E-11
2250,7.71E-13,-9.93E-12
2260,3.54E-12,-9.91E-12
2270,6.16E-12,-9.95E-12
2280,8.89E-12,-9.76E-12
2290,1.15E-11,-9.90E-12
2300,1.42E-11,-9.80E-12
2310,1.69E-11,-9.82E-12
2320,1.97E-11,-9.91E-12
2330,2.25E-11,-9.90E-12
2340,2.55E-11,-1.01E-11
2350,2.85E-11,-1.02E-11
2360,3.17E-11,-1.04E-11
2370,3.49E-11,-1.07E-11
2380,3.83E-11,-1.11E-11
2390,4.19E-11,-1.16E-11
2400,4.56E-11,-1.21E-11
2410,4.95E-11,-1.28E-11
2420,5.37E-11,-1.36E-11
2430,5.80E-11,-1.45E-11
2440,6.27E-11,-1.56E-11
2450,6.78E-11,-1.69E-11
2460,7.32E-11,-1.84E-11
2470,7.93E-11,-2.04E-11
2480,8.58E-11,-2.26E-11
2490,9.30E-11,-2.54E-11
2500,1.01E-10,-2.90E-11
2510,1.10E-10,-3.32E-11
2520,1.20E-10,-3.87E-11
2530,1.32E-10,-4.66E-11
2540,1.45E-10,-5.62E-11
2550,1.61E-10,-7.06E-11
2560,1.78E-10,-8.91E-11
2570,1.97E-10,-1.18E-10
2580,2.14E-10,-1.61E-10
2590,2.23E-10,-2.19E-10
2600,2.00E-10,-3.03E-10
2610,1.28E-10,-3.83E-10
2620,-1.06E-12,-4.12E-10
2630,-1.12E-10,-3.67E-10
2640,-1.79E-10,-2.78E-10
2650,-1.86E-10,-2.05E-10
2660,-1.74E-10,-1.45E-10
2670,-1.55E-10,-1.06E-10
2680,-1.36E-10,-8.29E-11
2690,-1.18E-10,-6.42E-11
2700,-1.03E-10,-5.30E-11
2710,-8.87E-11,-4.41E-11
2720,-7.66E-11,-3.77E-11
2730,-6.61E-11,-3.34E-11
2740,-5.64E-11,-2.97E-11
2750,-4.81E-11,-2.80E-11
2760,-4.10E-11,-2.69E-11
2770,-3.49E-11,-2.63E-11
2780,-3.06E-11,-2.52E-11
2790,-2.65E-11,-2.38E-11
2800,-2.20E-11,-2.15E-11
2810,-1.72E-11,-1.95E-11
2820,-1.21E-11,-1.78E-11
2830,-6.72E-12,-1.73E-11
2840,-1.95E-12,-1.63E-11
2850,2.96E-12,-1.60E-11
2860,7.53E-12,-1.58E-11
2870,1.24E-11,-1.53E-11
2880,1.69E-11,-1.57E-11
2890,2.17E-11,-1.56E-11
2900,2.64E-11,-1.60E-11
2910,3.12E-11,-1.66E-11
2920,3.61E-11,-1.70E-11
2930,4.11E-11,-1.79E-11
2940,4.63E-11,-1.89E-11
2950,5.18E-11,-2.00E-11
2960,5.75E-11,-2.14E-11
2970,6.36E-11,-2.31E-11
2980,7.01E-11,-2.52E-11
2990,7.71E-11,-2.76E-11
3000,8.45E-11,-3.05E-11
3010,9.30E-11,-3.43E-11
3020,1.02E-10,-3.87E-11
3030,1.12E-10,-4.44E-11
3040,1.23E-10,-5.13E-11
3050,1.35E-10,-6.03E-11
3060,1.50E-10,-7.31E-11
3070,1.65E-10,-8.89E-11
3080,1.82E-10,-1.11E-10
3090,1.99E-10,-1.42E-10
3100,2.13E-10,-1.81E-10
3110,2.19E-10,-2.39E-10
3120,2.01E-10,-3.14E-10
3130,1.49E-10,-3.94E-10
3140,4.57E-11,-4.41E-10
3150,-7.44E-11,-4.45E-10
3160,-1.66E-10,-3.79E-10
3170,-2.15E-10,-3.02E-10
3180,-2.27E-10,-2.27E-10
3190,-2.19E-10,-1.72E-10
3200,-2.03E-10,-1.32E-10
3210,-1.86E-10,-1.04E-10
3220,-1.69E-10,-8.33E-11
3230,-1.53E-10,-6.74E-11
3240,-1.40E-10,-5.66E-11
3250,-1.28E-10,-4.75E-11
3260,-1.17E-10,-4.06E-11
3270,-1.07E-10,-3.56E-11
3280,-9.81E-11,-3.11E-11
3290,-9.06E-11,-2.78E-11
3300,-8.33E-11,-2.50E-11
3310,-7.68E-11,-2.26E-11
3320,-7.09E-11,-2.07E-11
3330,-6.52E-11,-1.90E-11
3340,-6.01E-11,-1.77E-11
3350,-5.53E-11,-1.66E-11
3360,-5.08E-11,-1.56E-11
3370,-4.65E-11,-1.49E-11
3380,-4.24E-11,-1.42E-11
3390,-3.85E-11,-1.37E-11
3400,-3.48E-11,-1.32E-11
3410,-3.12E-11,-1.28E-11
3420,-2.77E-11,-1.27E-11
3430,-2.42E-11,-1.25E-11
3440,-2.09E-11,-1.24E-11
3450,-1.76E-11,-1.24E-11
3460,-1.43E-11,-1.23E-11
3470,-1.10E-11,-1.27E-11
3480,-7.76E-12,-1.27E-11
3490,-4.43E-12,-1.31E-11
3500,-1.13E-12,-1.37E-11
3510,2.33E-12,-1.40E-11
3520,5.77E-12,-1.49E-11
3530,9.46E-12,-1.57E-11
3540,1.33E-11,-1.66E-11
3550,1.73E-11,-1.79E-11
3560,2.16E-11,-1.92E-11
3570,2.61E-11,-2.12E-11
3580,3.10E-11,-2.35E-11
3590,3.61E-11,-2.62E-11
3600,4.19E-11,-3.00E-11
3610,4.79E-11,-3.43E-11
3620,5.46E-11,-4.02E-11
3630,6.15E-11,-4.74E-11
3640,6.88E-11,-5.73E-11
3650,7.60E-11,-7.14E-11
3660,8.16E-11,-8.84E-11
3670,8.40E-11,-1.11E-10
3680,7.91E-11,-1.40E-10
3690,6.53E-11,-1.71E-10
3700,3.18E-11,-1.98E-10
3710,-1.31E-11,-2.10E-10
3720,-6.07E-11,-2.00E-10
3730,-9.38E-11,-1.74E-10
3740,-1.14E-10,-1.41E-10
3750,-1.18E-10,-1.12E-10
3760,-1.15E-10,-8.81E-11
3770,-1.09E-10,-6.97E-11
3780,-1.02E-10,-5.60E-11
3790,-9.50E-11,-4.59E-11
3800,-8.83E-11,-3.85E-11
3810,-8.19E-11,-3.25E-11
3820,-7.60E-11,-2.77E-11
3830,-7.09E-11,-2.42E-11
3840,-6.60E-11,-2.11E-11
3850,-6.17E-11,-1.87E-11
3860,-5.78E-11,-1.68E-11
3870,-5.41E-11,-1.51E-11
3880,-5.09E-11,-1.37E-11
3890,-4.78E-11,-1.25E-11
3900,-4.50E-11,-1.15E-11
3910,-4.23E-11,-1.07E-11
3920,-3.98E-11,-9.92E-12
3930,-3.76E-11,-9.28E-12
3940,-3.54E-11,-8.72E-12
3950,-3.34E-11,-8.22E-12
3960,-3.14E-11,-7.80E-12
3970,-2.96E-11,-7.40E-12
3980,-2.78E-11,-7.08E-12
3990,-2.62E-11,-6.78E-12
4000,-2.45E-11,-6.51E-12
