FREQ [Hz],vertical stiffness Real [N/mm],vertical stiffness Imanginary [N/mm],stiffness around X Real [Nmm/rad],stiffness around X Imanginary [Nmm/rad],stiffness around Z Real [Nmm/rad],stiffness around Z Imanginary [Nmm/rad],lateral stiffness Real [N/mm],lateral stiffness Imanginary [N/mm]
199.526231496888,3862823784.67322,608114861.988769,5739621.75567611,903237.204594681,6803206.97000835,1070644.59265868,154725629.009707,24152333.0803759
202.315963100501,3868267570.84352,609074937.793073,5747663.29629536,904663.229493974,6812743.17305201,1072334.91771044,154914872.746638,24190483.4956082
205.144700113888,3873719028.81288,610036529.339891,5755716.10357611,906091.505791906,6822292.74319869,1074027.91143377,155104347.946141,24228694.1722728
208.012987902055,3879178169.39298,610999639.022238,5763780.19330362,907522.037042971,6831855.69918536,1075723.57804194,155294054.891316,24266965.205557
210.92137945518,3884645003.41074,611964269.236908,5771855.58128524,908954.826807273,6841432.05977524,1077421.92175489,155483993.865609,24305296.6907987
213.870435495227,3890119541.70835,612930422.384475,5779942.28335048,910389.878650539,6851021.84375785,1079122.94679919,155674165.152812,24343688.7234861
216.860724584052,3895601795.14325,613898100.869307,5788040.31535101,911827.196144123,6860625.06994906,1080826.65740813,155864569.037067,24382141.3992586
219.892823233016,3901091774.58822,614867307.099566,5796149.69316074,913266.782865019,6870241.75719109,1082533.05782164,156055205.802861,24420654.8139064
222.967316014134,3906589490.93134,615838043.487217,5804270.43267579,914708.642395868,6879871.92435261,1084242.15228636,156246075.735029,24459229.0633711
226.084795672778,3912094955.07603,616810312.448032,5812402.54981457,916152.778324968,6889515.5903287,1085953.94505565,156437179.118756,24497864.2437458
229.245863241954,3917608177.94108,617784116.401597,5820546.06051778,917599.194246281,6899172.77404094,1087668.44038956,156628516.239574,24536560.4512755
232.451128158179,3923129170.46069,618759457.771319,5828700.98074846,919047.893759443,6908843.49443745,1089385.64255488,156820087.383365,24575317.7823572
235.701208378977,3928657943.58443,619736338.98443,5836867.32649202,920498.880469775,6918527.77049288,1091105.55582514,157011892.836361,24614136.33354
238.996730502016,3934194508.27733,620714762.471995,5845045.11375626,921952.157988287,6928225.6212085,1092828.1844806,157203932.885145,24653016.2015257
242.338329885915,3939738875.51987,621694730.668915,5853234.3585714,923407.729931692,6937937.0656122,1094553.5328083,157396207.816647,24691957.4831687
245.726650772736,3945291056.30799,622676246.013938,5861435.07699015,924865.599922414,6947662.12275854,1096281.60510203,157588717.918152,24730960.2754765
249.162346412191,3950851061.65313,623659310.94966,5869647.28508767,926325.771588595,6957400.81172882,1098012.40566237,157781463.477294,24770024.6756098
252.646079187585,3956418902.58227,624643927.922535,5877870.99896166,927788.248564103,6967153.15163105,1099745.93879667,157974444.78206,24809150.7808828
256.178520743519,3961994590.1379,625630099.382879,5886106.2347324,929253.034488546,6976919.16160004,1101482.20881912,158167662.120788,24848338.6887633
259.760352115381,3967578135.37809,626617827.784874,5894353.0085427,930720.133007278,6986698.86079741,1103221.22005067,158361115.782169,24887588.4968732
263.392263860646,3973169549.37648,627607115.58658,5902611.33655804,932189.547771406,6996492.26841167,1104962.97681915,158554806.055249,24926900.3029885
267.074956192009,3978768843.22234,628597965.249936,5910881.23496652,933661.282437805,7006299.40365819,1106707.48345916,158748733.229424,24966274.2050397
270.809139112383,3984376028.02054,629590379.240769,5919162.71997892,935135.340669119,7016120.28577929,1108454.7443122,158942897.594447,25005710.301112
274.595532551789,3989991114.89162,630584360.028798,5927455.80782875,936611.726133778,7025954.93404427,1110204.76372658,159137299.440425,25045208.6894454
278.434866506144,3995614114.97178,631579910.087641,5935760.51477225,938090.442506002,7035803.36774943,1111957.54605751,159331939.057817,25084769.4684354
282.327881178013,4001245039.41292,632577031.894822,5944076.85708844,939571.493465814,7045665.60621812,1113713.09566705,159526816.737442,25124392.7366325
286.275327119304,4006883899.38266,633575727.931775,5952404.85107914,941054.882699043,7055541.66880078,1115471.41692417,159721932.77047,25164078.5927431
290.277965375977,4012530706.06434,634576000.683854,5960744.51306902,942540.613897342,7065431.57487497,1117232.51420471,159917287.448431,25203827.1356295
294.336567634771,4018185470.65709,635577852.640335,5969095.85940563,944028.690758187,7075335.34384541,1118996.39189143,160112881.063208,25243638.4643103
298.451916371975,4023848204.37579,636581286.294424,5977458.9064594,945519.116984897,7085252.99514403,1120763.05437403,160308713.907044,25283512.6779601
302.624805004289,4029518918.45114,637586304.143264,5985833.67062371,947011.896286635,7095184.54822998,1122532.50604912,160504786.272538,25323449.8759106
306.85603804179,4035197624.12968,638592908.687942,5994220.16831491,948507.032378418,7105130.0225897,1124304.75132025,160701098.452647,25363450.1576501
311.146431243037,4040884332.67379,639601102.433489,6002618.41597235,950004.528981133,7115089.43773696,1126079.79459792,160897650.740686,25403513.6228243
315.496811772344,4046579055.3617,640610887.888895,6011028.4300584,951504.389821538,7125062.81321284,1127857.64029961,161094443.43033,25443640.371236
319.908018359255,4052281803.48757,641622267.567109,6019450.22705852,953006.618632275,7135050.16858584,1129638.29284976,161291476.815612,25483830.5028459
324.380901460242,4057992588.36145,642635243.98505,6027883.82348123,954511.219151881,7145051.5234519,1131421.7566798,161488751.190925,25524084.1177724
328.916323422673,4063711421.30935,643649819.663607,6036329.23585822,956018.195124794,7155066.8974344,1133208.03622816,161686266.851022,25564401.3162923
333.515158651066,4069438313.67321,644665997.127652,6044786.4807443,957527.550301363,7165096.31018425,1134997.13594027,161884024.091017,25604782.1988405
338.17829377567,4075173276.811,645683778.906041,6053255.57471752,959039.28843786,7175139.78137989,1136789.06026859,162082023.206384,25645226.8660107
342.9066278234,4080916322.09665,646703167.531624,6061736.53437912,960553.413296486,7185197.33072735,1138583.81367258,162280264.492959,25685735.4185555
347.701072391167,4086667460.92016,647724165.541249,6070229.37635362,962069.928645382,7195268.97796028,1140381.40061878,162478748.24694,25726307.9573867
352.562551821629,4092426704.68754,648746775.475769,6078734.11728882,963588.838258638,7205354.74284,1142181.82558077,162677474.764886,25766944.5835753
357.492003381399,4098194064.82091,649770999.880049,6087250.77385585,965110.145916303,7215454.64515551,1143985.09303916,162876444.343722,25807645.3983521
362.490377441742,4103969552.75846,650796841.302972,6095779.3627492,966633.855404393,7225568.70472356,1145791.20748169,163075657.280732,25848410.5031079
367.558637661806,4109753179.95452,651824302.297444,6104319.90068674,968159.970514902,7235696.9413887,1147600.17340313,163275113.873566,25889239.9993933
372.697761174406,4115544957.87956,652853385.420403,6112872.40440977,969688.495045812,7245839.37502325,1149411.99530539,163474814.420237,25930133.9889198
377.908738774413,4121344898.0202,653884093.232822,6121436.89068305,971219.432801098,7255996.02552742,1151226.67769746,163674759.219125,25971092.573559
383.192575109772,4127153011.87927,654916428.299719,6130013.37629482,972752.787590744,7266166.91282931,1153044.22509546,163874948.568971,26012115.8553439
388.550288875194,4132969310.97578,655950393.19016,6138601.87805685,974288.563230747,7276352.05688494,1154864.64202265,164075382.768884,26053203.9364685
393.982913008553,4138793806.845,656985990.477268,6147202.41280444,975826.76354313,7286551.47767832,1156687.9330094,164276062.118339,26094356.9192881
399.491494890031,4144626511.03845,658023222.738228,6155814.99739652,977367.392355949,7296765.19522146,1158514.10259326,164476986.917176,26135574.9063198
405.077096544051,4150467435.12393,659062092.554293,6164439.64871559,978910.453503305,7306993.22955443,1160343.15531894,164678157.465602,26176858.0002427
410.740794844023,4156316590.68553,660102602.510794,6173076.38366786,980455.950825351,7317235.60074537,1162175.09573832,164879574.064192,26218206.3038978
416.483681719965,4162173989.32368,661144755.19714,6181725.21918317,982003.888168305,7327492.32889058,1164009.92841046,165081237.013887,26259619.920289
422.306864369017,4168039642.65516,662188553.206831,6190386.17221512,983554.269384454,7337763.43411451,1165847.65790164,165283146.615999,26301098.9525824
428.211465468904,4173913562.3131,663233999.137459,6199059.25974104,985107.098332169,7348048.93656982,1167688.28878532,165485303.172205,26342643.5041075
434.198623394386,4179795759.94704,664281095.59072,6207744.49876206,986662.378875913,7358348.85643743,1169531.8256422,165687706.984553,26384253.6783568
440.269492436723,4185686247.22294,665329845.172415,6216441.90630312,988220.11488625,7368663.21392653,1171378.27306021,165890358.355461,26425929.5789862
446.425243026222,4191585035.82321,666380250.49246,6225151.49941303,989780.310239852,7378992.02927466,1173227.63563451,166093257.587715,26467671.3098154
452.667061957886,4197492137.44668,667432314.164891,6233873.29516446,991342.968819517,7389335.32274771,1175079.91796754,166296404.984473,26509478.9748283
458.996152620225,4203407563.80872,668486038.807871,6242607.31065401,992908.094514168,7399693.11463997,1176935.12466899,166499800.849263,26551352.6781727
465.413735227259,4209331326.64119,669541427.043698,6251353.56300225,994475.691218869,7410065.42527421,1178793.26035582,166703445.485983,26593292.5241612
471.921047053771,4215263437.69246,670598481.498808,6260112.06935373,996045.762834836,7420452.27500166,1180654.32965229,166907339.198906,26635298.617271
478.519342673846,4221203908.72749,671657204.803784,6268882.84687699,997618.313269443,7430853.68420207,1182518.33718997,167111482.292675,26677371.0621443
485.209894202748,4227152751.52781,672717599.593364,6277665.91276466,999193.34643623,7441269.67328378,1184385.28760771,167315875.072305,26719509.9635888
491.993991542171,4233109977.89154,673779668.506442,6286461.28423345,1000770.86625492,7451700.26268373,1186255.18555173,167520517.843184,26761715.4265776
498.872942628932,4239075599.63345,674843414.186081,6295268.97852419,1002350.87665142,7462145.4728675,1188128.03567555,167725410.911077,26803987.5562496
505.848073687132,4245049628.58494,675908839.279516,6304089.01290186,1003933.38155784,7472605.32432935,1190003.84264004,167930554.582118,26846326.4579098
512.92072948384,4251032076.59409,676975946.438163,6312921.40465562,1005518.3849125,7483079.8375923,1191882.61111345,168135949.162818,26888732.2370295
520.092273588363,4257022955.52569,678044738.31762,6321766.17109888,1007105.89065992,7493569.03320809,1193764.34577138,168341594.960065,26931204.9992468
527.364088635134,4263022277.26123,679115217.577682,6330623.32956929,1008695.90275088,7504072.93175731,1195649.05129681,168547492.281117,26973744.8503664
534.737576590271,4269030053.69895,680187386.88234,6339492.8974288,1010288.42514236,7514591.55384938,1197536.73238014,168753641.433613,27016351.8963602
542.214159021872,4275046296.75387,681261248.899793,6348374.89206366,1011883.46179762,7525124.9201226,1199427.39371914,168960042.725565,27059026.2433676
549.79527737409,4281071018.35779,682336806.302452,6357269.33088452,1013481.01668615,7535673.05124422,1201321.04001902,169166696.465363,27101767.9976955
557.482393245026,4287104230.45933,683414061.766945,6366176.23132638,1015081.09378373,7546235.96791044,1203217.67599242,169373602.961775,27144577.2658189
565.276988668524,4293145945.02395,684493017.974129,6375095.61084871,1016683.69707241,7556813.69084648,1205117.3063594,169580762.523944,27187454.1543809
573.180566399898,4299196174.03396,685573677.609091,6384027.4869354,1018288.83054051,7567406.24080662,1207019.93584748,169788175.461394,27230398.7701929
581.194650205654,4305254929.48858,686656043.361159,6392971.87709487,1019896.49818267,7578013.63857422,1208925.56919167,169995842.084027,27273411.2202353
589.320785157262,4311322223.40392,687740117.923905,6401928.79886005,1021506.70399983,7588635.90496176,1210834.21113442,170203762.702122,27316491.6116572
597.560537929042,4317398067.81302,688825903.995156,6410898.26978845,1023119.45199923,7599273.06081092,1212745.86642568,170411937.626339,27359640.0517772
605.915497100206,4323482474.76591,689913404.276995,6419880.30746216,1024734.74619447,7609925.12699259,1214660.5398229,170620367.167718,27402856.6480832
614.387273461129,4329575456.32957,691002621.475774,6428874.92948792,1026352.59060545,7620592.12440688,1216578.23609105,170829051.637681,27446141.5082331
622.977500323901,4335677024.58799,692093558.302116,6437882.15349713,1027972.98925844,7631274.07398325,1218498.9600026,171037991.348027,27489494.7400547
631.687833837219,4341787191.6422,693186217.470924,6446901.99714589,1029595.94618606,7641970.99668046,1220422.71633759,171247186.610939,27532916.4515461
640.519953305687,4347905969.61028,694280601.701388,6455934.47811505,1031221.4654273,7652682.91348665,1222349.50988356,171456637.738982,27576406.7508762
649.475561513571,4354033370.62739,695376713.716988,6464979.61411022,1032849.55102752,7663409.84541941,1224279.34543566,171666345.045103,27619965.7463844
658.556385053091,4360169406.84579,696474556.245507,6474037.42286182,1034480.20703848,7674151.81352575,1226212.22779656,171876308.84263,27663593.5465817
667.764174657299,4366314090.43486,697574132.019035,6483107.92212512,1036113.43751831,7684908.8388822,1228148.16177656,172086529.445278,27707290.2601501
677.100705537607,4372467433.58114,698675443.773971,6492191.12968024,1037749.24653158,7695680.94259485,1230087.15219351,172297007.167141,27751055.9959435
686.567777726039,4378629448.48833,699778494.251039,6501287.06333224,1039387.63814925,7706468.14579936,1232029.20387291,172507742.322701,27794890.8629875
696.167216422272,4384800147.37735,700883286.195287,6510395.74091111,1041028.61644872,7717270.469661,1233974.32164784,172718735.226822,27838794.9704803
705.900872345518,4390979542.48632,701989822.356098,6519517.18027183,1042672.18551384,7728087.93537473,1235922.51035903,172929986.194755,27882768.4277922
715.770622091335,4397167646.07062,703098105.487195,6528651.39929439,1044318.34943487,7738920.56416521,1237873.77485485,173141495.542137,27926811.3444664
725.778368493428,4403364470.4029,704208138.34665,6537798.41588384,1045967.11230858,7749768.37728687,1239828.11999133,173353263.584988,27970923.8302194
735.926040990497,4409570027.7731,705319923.696887,6546958.24797029,1047618.47823815,7760631.3960239,1241785.55063216,173565290.639718,28015105.9949404
746.215595998231,4415784330.48849,706433464.304693,6556130.913509,1049272.45133329,7771509.64169035,1243746.0716487,173777577.023121,28059357.9486929
756.649017286488,4422007390.87367,707548762.941222,6565316.43048038,1050929.03571017,7782403.13563013,1245709.68792002,173990123.052381,28103679.8017136
767.228316361756,4428239221.27063,708665822.382005,6574514.81689002,1052588.23549145,7793311.89921709,1247676.40433287,174202929.045069,28148071.6644138
777.955532854966,4434479834.03872,709784645.406953,6583726.09076875,1054250.05480633,7804235.95385501,1249646.22578175,174415995.319143,28192533.6473789
788.832734914711,4440729241.55475,710905234.800367,6592950.27017265,1055914.49779051,7815175.3209777,1251619.15716884,174629322.192952,28237065.8613692
799.862019605984,4446987456.21293,712027593.350942,6602187.3731831,1057581.56858621,7826130.02204899,1253595.20340411,174842909.985234,28281668.4173198
811.045513314477,4453254490.42497,713151723.851777,6611437.41790683,1059251.27134222,7837100.07856282,1255574.36940524,175056759.015116,28326341.4263411
822.385372156533,4459530356.62006,714277629.100382,6620700.42247592,1060923.61021384,7848085.51204325,1257556.6600977,175270869.602116,28371084.999719
833.883782394837,4465815067.24489,715405311.898681,6629976.40504786,1062598.58936297,7859086.34404451,1259542.08041473,175485242.066142,28415899.2489152
845.542960859918,4472108634.76372,716534775.053024,6639265.38380558,1064276.21295805,7870102.59615102,1261530.63529734,175699876.727493,28460784.2855673
857.365155377537,4478411071.65836,717666021.374189,6648567.37695748,1065956.48517412,7881134.2899775,1263522.32969438,175914773.906863,28505740.2214895
869.352645202054,4484722390.4282,718799053.677394,6657882.40273748,1067639.41019281,7892181.44716893,1265517.16856247,176129933.925333,28550767.1686725
881.507741455866,4491042603.59027,719933874.782301,6667210.47940504,1069324.99220234,7903244.08940065,1267515.15686608,176345357.104382,28595865.2392839
893.832787574964,4497371723.67923,721070487.513022,6676551.62524521,1071013.23539755,7914322.23837839,1269516.29957752,176561043.765878,28641034.5456683
906.330159760748,4503709763.24738,722208894.69813,6685905.85856865,1072704.1439799,7925415.91583827,1271520.60167695,176776994.232085,28686275.2003482
919.002267438137,4510056734.86475,723349099.170662,6695273.19771167,1074397.72215749,7936525.14354691,1273528.06815236,176993208.82566,28731587.3160234
931.851553720097,4516412651.11905,724491103.768128,6704653.66103629,1076093.97414506,7947649.94330143,1275538.70399967,177209687.869656,28776971.0055719
944.88049587866,4522777524.61576,725634911.332519,6714047.26693025,1077792.904164,7958790.33692952,1277552.51422264,177426431.687519,28822426.3820499
958.091605822525,4529151367.97811,726780524.710311,6723454.03380703,1079494.51644237,7969946.34628943,1279569.50383296,177643440.603094,28867953.5586925
971.487430581342,4535534193.84711,727927946.752476,6732873.98010592,1081198.81521491,7981117.99327008,1281589.67785022,177860714.940618,28913552.6489132
985.070552796768,4541926014.88159,729077180.314484,6742307.12429208,1082905.80472302,7992305.29979107,1283613.04130192,178078255.024728,28959223.766305
998.843591220383,4548326843.75824,730228228.256317,6751753.48485648,1084615.48921483,8003508.2878027,1285639.59922354,178296061.180455,29004967.0246401
1012.80920121857,4554736693.17159,731381093.442469,6761213.08031604,1086327.87294517,8014726.97928608,1287669.35665846,178514133.733231,29050782.5378706
1026.97007528447,4561155575.83407,732535778.741959,6770685.9292136,1088042.96017556,8025961.39625308,1289702.31865806,178732473.008883,29096670.4201285
1041.32894355703,4567583504.47602,733692287.028332,6780172.05011801,1089760.75517428,8037211.56074648,1291738.49028167,178951079.333638,29142630.785726
1055.88857434745,4574020491.84573,734850621.179675,6789671.4616241,1091481.26221633,8048477.49483991,1293777.87659663,179169953.034122,29188663.7491561
1070.6517746728,4580466550.70945,736010784.078613,6799184.18235277,1093204.48558348,8059759.22063797,1295820.48267826,179389094.43736,29234769.4250923
1085.62139079727,4586921693.85142,737172778.612326,6808710.23095101,1094930.42956423,8071056.76027623,1297866.31360991,179608503.870777,29280947.9283896
1100.80030878085,4593385934.0739,738336607.672551,6818249.62609194,1096659.09845387,8082370.1359213,1299915.37448294,179828181.662198,29327199.3740843
1116.19145503583,4599859284.19719,739502274.15559,6827802.38647482,1098390.49655448,8093699.36977085,1301967.67039676,180048128.139852,29373523.8773942
1131.79779689091,4606341757.05966,740669780.962318,6837368.53082513,1100124.62817491,8105044.48405367,1304023.20645882,180268343.632364,29419921.5537193
1147.62234316334,4612833365.51776,741839130.99819,6846948.07789459,1101861.49763082,8116405.50102971,1306081.98778464,180488828.468767,29466392.518642
1163.66814473899,4619334122.44608,743010327.173249,6856541.04646116,1103601.10924469,8127782.44299012,1308144.01949783,180709582.978491,29512936.8879269
1179.93829516052,4625844040.73735,744183372.402129,6866147.45532915,1105343.46734582,8139175.3322573,1310209.30673006,180930607.491373,29559554.7775219
1196.43593122385,4632363133.30244,745358269.604068,6875767.32332918,1107088.57627035,8150584.19118493,1312277.85462112,181151902.337651,29606246.3035576
1213.16423358286,4638891413.07045,746535021.702914,6885400.66931829,1108836.44036126,8162009.04215804,1314349.66831892,181373467.847968,29653011.5823484
1230.12642736264,4645428892.98869,747713631.627129,6895047.5121799,1110587.06396839,8173449.90759302,1316424.75297948,181595304.353371,29699850.7303923
1247.32578278126,4651975586.02271,748894102.309799,6904707.87082391,1112340.45144844,8184906.80993768,1318503.11376697,181817412.185312,29746763.8643713
1264.76561578026,4658531505.15634,750076436.68864,6914381.76418671,1114096.607165,8196379.77167133,1320584.75585372,182039791.675648,29793751.1011516
1282.44928866395,4665096663.39169,751260637.706007,6924069.21123122,1115855.53548853,8207868.81530474,1322669.68442022,182262443.156643,29840812.5577842
1300.38021074761,4671671073.74923,752446708.3089,6933770.23094694,1117617.24079643,8219373.96338027,1324757.90465513,182485366.960967,29887948.351505
1318.56183901483,4678254749.26774,753634651.448973,6943484.84234995,1119381.72747296,8230895.23847186,1326849.42175531,182708563.421696,29935158.5997348
1336.99767878397,4684847703.00439,754824470.082536,6953213.06448299,1121148.99990933,8242432.66318511,1328944.24092583,182932032.872314,29982443.4200801
1355.69128438399,4691449948.03477,756016167.170571,6962954.91641548,1122919.06250369,8253986.26015729,1331042.36737997,183155775.646713,30029802.9303333
1374.64625983968,4698061497.45287,757209745.678732,6972710.41724354,1124691.91966112,8265556.0520574,1333143.80633923,183379792.079193,30077237.2484725
1393.86625956649,4704682364.37114,758405208.577356,6982479.58609009,1126467.57579366,8277142.06158623,1335248.56303339,183604082.504463,30124746.4926624
1413.35498907514,4711312561.92052,759602558.841469,6992262.44210478,1128246.0353203,8288744.31147638,1337356.64270045,183828647.257642,30172330.7812543
1433.11620568595,4717952103.25044,760801799.450794,7002059.00446413,1130027.30266703,8300362.82449232,1339468.05058669,184053486.674259,30219990.2327865
1453.15371925325,4724601001.52887,762002933.389758,7011869.29237153,1131811.38226681,8311997.62343043,1341582.79194668,184278601.090251,30267724.9659844
1473.47139289994,4731259269.94235,763205963.647502,7021693.32505724,1133598.27855962,8323648.73111903,1343700.87204328,184503990.841968,30315535.0997611
1494.07314376225,4737926921.69597,764410893.217883,7031531.12177851,1135387.99599242,8335316.17041846,1345822.29614767,184729656.266172,30363420.7532174
1514.9629437449,4744603970.01346,765617725.099486,7041382.70181954,1137180.53901922,8346999.96422108,1347947.06953932,184955597.700036,30411382.0456423
1536.14482028695,4751290428.13718,766826462.295631,7051248.08449154,1138975.91210105,8358700.13545137,1350075.19750608,185181815.481144,30459419.0965131
1557.6228571382,4757986309.32814,768037107.814378,7061127.28913281,1140774.11970597,8370416.70706592,1352206.68534412,185408309.947496,30507532.0254961
1579.40119514654,4764691626.86604,769249664.668537,7071020.33510871,1142575.16630912,8382149.7020535,1354341.53835797,185635081.437501,30555720.9524463
1601.48403305627,4771406394.04931,770464135.875673,7080927.24181176,1144379.05639268,8393899.14343511,1356479.76186055,185862130.289987,30603985.9974082
1623.87562831761,4778130624.19511,771680524.458118,7090848.02866163,1146185.79444592,8405665.05426402,1358621.36117316,186089456.844194,30652327.280616
1646.58029790751,4784864330.63936,772898833.442973,7100782.7151052,1147995.3849652,8417447.45762582,1360766.3416255,186317061.439774,30700744.9224936
1669.60241916193,4791607526.7368,774119065.862119,7110731.32061661,1149807.83245397,8429246.37663843,1362914.70855568,186544944.416801,30749239.0436553
1692.94643061978,4798360225.86096,775341224.752224,7120693.86469727,1151623.1414228,8441061.83445222,1365066.46731025,186773106.115758,30797809.7649057
1716.61683287863,4805122441.40424,776565313.15475,7130670.36687593,1153441.31638937,8452893.85424998,1367221.6232442,187001546.87755,30846457.2072405
1740.61818946242,4811894186.7779,777791334.11596,7140660.84670867,1155262.36187851,8464742.459247,1369380.18172097,187230267.043495,30895181.4918464
1764.95512770125,4818675475.4121,779019290.686927,7150665.323779,1157086.28242216,8476607.67269111,1371542.14811245,187459266.955331,30943982.7401014
1789.63233962355,4825466320.75594,780249185.923542,7160683.81769786,1158913.08255946,8488489.51786274,1373707.52779905,187688546.955213,30992861.0735754
1814.65458286065,4832266736.27746,781481022.886518,7170716.34810365,1160742.76683668,8500388.01807494,1375876.32616964,187918107.385714,31041816.6140303
1840.026681564,4839076735.46368,782714804.641403,7180762.93466231,1162575.33980728,8512303.19667344,1378048.54862161,188147948.589828,31090849.4834203
1865.75352733531,4845896331.82064,783950534.258583,7190823.5970673,1164410.80603192,8524235.0770367,1380224.20056088,188378070.910965,31139959.8038921
1891.84008016955,4852725538.8734,785188214.813291,7200898.35503971,1166249.17007844,8536183.68257594,1382403.28740189,188608474.692959,31189147.6977856
1918.29136941125,4859564370.16609,786427849.385618,7210987.22832824,1168090.43652191,8548149.03673521,1384585.81456763,188839160.280061,31238413.2876338
1945.11249472413,4866412839.26193,787669441.060514,7221090.23670925,1169934.60994461,8560131.16299142,1386771.78748967,189070128.016945,31287756.6961632
1972.30862707427,4873270959.74324,788912992.927802,7231207.39998683,1171781.69493606,8572130.08485437,1388961.21160814,189301378.248708,31337178.0462943
1999.88500972706,4880138745.21148,790158508.082182,7241338.7379928,1173631.69609302,8584145.82586683,1391154.09237176,189532911.320865,31386677.4611416
2027.84695925807,4887016209.28731,791405989.623241,7251484.27058677,1175484.61801953,8596178.40960457,1393350.43523785,189764727.579357,31436255.0640143
2056.19986657804,4893903365.61054,792655440.655459,7261644.01765617,1177340.46532686,8608227.8596764,1395550.24567235,189996827.370547,31485910.9784161
2084.94919797223,4900800227.84024,793906864.288215,7271817.99911631,1179199.2426336,8620294.19972423,1397753.52914983,190229211.041222,31535645.3280459
2114.1004961543,4907706809.65471,795160263.635801,7282006.23491038,1181060.9545656,8632377.45342312,1399960.2911535,190461878.938592,31585458.2367982
2143.6593813349,4914623124.75153,796415641.817423,7292208.74500954,1182925.60575604,8644477.64448128,1402170.53717523,190694831.410294,31635349.8287627
2173.63155230524,4921549186.84758,797673001.957212,7302425.54941289,1184793.20084539,8656594.79664018,1404384.27271556,190928068.804387,31685320.2282257
2204.02278753574,4928485009.67908,798932347.184232,7312656.66814759,1186663.74448146,8668728.93367457,1406601.50328372,191161591.469358,31735369.5596694
2234.83894629012,4935430607.00161,800193680.632487,7322902.12126884,1188537.2413194,8680880.07939252,1408822.23439763,191395399.754119,31785497.9477727
2266.08596975504,4942385992.59012,801457005.440928,7333161.92885994,1190413.6960217,8693048.25763546,1411046.47158391,191629494.008011,31835705.5174116
2297.76988218552,4949351180.23899,802722324.753463,7343436.11103233,1192293.11325823,8705233.49227826,1413274.22037794,191863874.5808,31885992.3936593
2329.89679206635,4956326183.76202,803989641.718961,7353724.68792562,1194175.4977062,8717435.80722925,1415505.4863238,192098541.82268,31936358.7017864
2362.47289328984,4963311016.99249,805258959.491267,7364027.67970764,1196060.85405024,8729655.22643026,1417740.27497434,192333496.084274,31986804.5672615
2395.50446634992,4970305693.78319,806530281.2292,7374345.1065745,1197949.18698236,8741891.77385669,1419978.5918912,192568737.716633,32037330.1157514
2428.99787955297,4977310228.0064,807803610.096569,7384676.98875056,1199840.50120196,8754145.47351755,1422220.44264476,192804267.07124,32087935.4731215
2462.95959024565,4984324633.55398,809078949.262178,7395023.34648856,1201734.80141589,8766416.3494555,1424465.83281421,193040084.500003,32138620.7654357
2497.3961460598,4991348924.33734,810356301.899832,7405384.20006959,1203632.09233842,8778704.42574689,1426714.76798756,193276190.355266,32189386.1189573
2532.31418617481,4998383114.28751,811635671.18835,7415759.56980315,1205532.37869125,8791009.72650185,1428967.25376164,193512584.989799,32240231.660149
2567.72044259759,5005427217.35517,812917060.311565,7426149.47602722,1207435.66520356,8803332.27586426,1431223.29574209,193749268.756808,32291157.5156731
2603.62174146049,5012481247.51062,814200472.45834,7436553.93910826,1209341.95661197,8815672.09801189,1433482.89954344,193986242.009927,32342163.8123923
2640.02500433733,5019545218.74388,815485910.822572,7446972.97944125,1211251.25766059,8828029.21715637,1435746.07078905,194223505.103224,32393250.6773692
2676.93724957784,5026619145.06468,816773378.6032,7457406.61744978,1213163.57310103,8840403.65754327,1438012.81511118,194461058.391202,32444418.2378677
2714.36559366077,5033703040.50247,818062879.004213,7467854.87358601,1215078.90769238,8852795.44345215,1440283.13815097,194698902.228795,32495666.6213521
2752.3172525659,5040796919.10652,819354415.234659,7478317.76833081,1216997.26620126,8865204.59919662,1442557.04555848,194937036.971372,32546995.9554886
2790.79954316523,5047900794.94585,820647990.508652,7488795.32219368,1218918.65340182,8877631.14912435,1444834.54299267,195175462.974736,32598406.3681446
2829.81988463366,5055014682.10933,821943608.045381,7499287.55571291,1220843.07407573,8890075.11761714,1447115.63612144,195414180.595127,32649897.9873898
2869.38579987934,5062138594.70568,823241271.069116,7509794.48945554,1222770.53301221,8902536.52909098,1449400.33062166,195653190.189219,32701470.9414961
2909.50491699406,5069272546.86351,824540982.809219,7520316.14401743,1224701.03500806,8915015.40799606,1451688.63217914,195892492.114123,32753125.3589379
2950.1849707239,5076416552.73134,825842746.500149,7530852.54002329,1226634.58486764,8927511.77881688,1453980.54648867,196132086.727386,32804861.3683927
2991.43380396045,5083570626.47763,827146565.381473,7541403.69812674,1228571.1874029,8940025.66607221,1456276.07925404,196371974.386994,32856679.0987411
3033.25936925288,5090734782.29078,828452442.697872,7551969.63901032,1230510.84743337,8952557.09431525,1458575.23618803,196612155.451369,32908578.6790675
3075.66973034112,5097909034.37923,829760381.699147,7562550.38338556,1232453.56978622,8965106.08813355,1460878.02301245,196852630.279372,32960560.2386599
3118.67306371056,5105093396.97141,831070385.640235,7573145.951993,1234399.35929622,8977672.67214918,1463184.44545814,197093399.230303,33012623.9070108
3162.27766016838,5112287884.31582,832382457.781208,7583756.36560226,1236348.22080577,8990256.8710187,1465494.509265,197334462.663903,33064769.813817
